lat,lon,mean_annual_rf,std_annual,cv,dry_days,heavy_days,rf_norm,cv_norm,dry_norm,heavy_norm,scri,risk_tier,scri_z
9.75,77.75,1079.0577,370.92792,0.3437517,263.6666666666667,0.1794871794871795,0.1120649526626321,0.9642026358792348,0.4921299822541342,0.9936189608044563,0.6215008814205393,High,0.3781355972895467
9.75,78.0,889.4306,386.0548,0.43404713,290.15384615384613,0.1025641025641025,0.09193782064340981,0.9492450449739461,0.3610053313339946,0.9963536918882607,0.5861820966753737,Moderate,-0.2383391795630592
9.75,78.25,985.33545,386.97903,0.39273837,290.1794871794872,0.3333333333333333,0.10211721787742177,0.9560879110291247,0.36087839556350065,0.9881494986368475,0.5888701968924197,Moderate,-0.19141950230299393
9.75,78.5,846.497,339.95947,0.40160742,283.5128205128205,0.0512820512820512,0.08738082306626771,0.9546187378758594,0.3938816958918999,0.9981768459441304,0.5931894820532577,Moderate,-0.11602816664683548
9.75,78.75,874.52185,363.77274,0.41596758,304.1794871794872,0.2564102564102564,0.09035539714227742,0.9522399530512621,0.2915714648738623,0.9908842297206519,0.5712019578104341,Moderate,-0.4998113063821655
10.0,76.0,2954.0776,568.196,0.19234294,201.8205128205128,1.4102564102564104,0.31108066859125705,0.9892837534015395,0.7982990606852837,0.9498632634635855,0.7377707669307152,Critical,2.407578349687048
10.0,76.25,2994.7866,582.4229,0.19447893,200.51282051282053,1.6666666666666667,0.3154015458148739,0.9889299230404925,0.8047727849804694,0.9407474931842374,0.7379943747967386,Critical,2.411481332485122
10.0,76.5,3143.6167,620.80554,0.1974813,191.53846153846155,1.0256410256410255,0.33119846023867755,0.9884325753651306,0.8492003046533145,0.9635369188826076,0.7571919725642008,Critical,2.746567459745554
10.0,76.75,3401.5432,910.2145,0.26758868,177.87179487179486,2.4358974358974357,0.3585749307787846,0.9768191691331473,0.9168570703265329,0.9134001823461932,0.7634987311687771,Critical,2.8566493221729297
10.0,77.0,2671.487,1182.6543,0.4426951,197.64102564102564,1.6153846153846154,0.28108633595846755,0.9478124940971054,0.8189895912757799,0.9425706472401071,0.7207196043769994,Critical,2.1099573611331244
10.0,77.25,864.2504,533.8937,0.61775345,276.2564102564103,0.1025641025641025,0.08926517939292176,0.9188137819379758,0.4298045189416573,0.9963536918882607,0.5915323260627672,Moderate,-0.14495313891920258
10.0,77.5,912.7572,461.67584,0.5058036,294.84615384615387,0.1538461538461538,0.09441371969876419,0.9373584641905375,0.33777608533362113,0.9945305378323912,0.5788515834820857,Moderate,-0.36629025482382094
10.0,77.75,967.3211,345.35538,0.35702246,289.4102564102564,0.2564102564102564,0.10020516416415781,0.9620043120096629,0.3646864686783159,0.9908842297206519,0.5912209784174893,Moderate,-0.15038758326747587
10.0,78.0,891.59357,360.09943,0.40388292,291.28205128205127,0.0769230769230769,0.09216739955245612,0.9542417974470361,0.3554201574322654,0.9972652689161956,0.5866110179429979,Moderate,-0.23085253627525068
