lat,lon,mean_annual_rf,std_annual,cv,dry_days,heavy_days
12.0,76.0,1217.5345,355.28244,0.29180482,241.28205128205127,0.0512820512820512
12.0,76.25,926.03864,255.67249,0.27609268,283.0,0.0769230769230769
12.0,76.5,710.3411,224.53673,0.31609705,271.6666666666667,0.0
12.0,76.75,717.0698,149.31496,0.20822932,292.61538461538464,0.0769230769230769
12.0,77.0,1056.4744,336.30005,0.31832296,282.15384615384613,0.2564102564102564
12.0,77.25,704.94727,203.48286,0.28864977,299.79487179487177,0.0512820512820512
12.0,77.5,937.37,210.35579,0.22441062,272.87179487179486,0.1025641025641025
12.0,77.75,842.15015,221.88722,0.26347703,282.38461538461536,0.0512820512820512
12.0,78.0,881.2471,176.42725,0.2002018,280.0769230769231,0.1282051282051282
12.0,78.25,884.778,224.78806,0.25406152,288.20512820512823,0.2051282051282051
12.0,78.5,844.33673,262.76007,0.31120294,297.61538461538464,0.2307692307692307
12.0,78.75,893.8701,293.67426,0.3285424,284.0769230769231,0.2307692307692307
12.0,79.0,997.91925,334.31067,0.33500773,299.3333333333333,0.5384615384615384
12.0,79.25,1155.5612,466.22495,0.40346193,288.2564102564103,0.7948717948717948
12.0,79.5,1087.7815,441.76544,0.40611598,295.46153846153845,0.8205128205128205
12.0,79.75,1209.1097,469.22076,0.38807127,287.6923076923077,1.1538461538461535
12.25,75.0,3422.9714,471.11212,0.1376325,227.56410256410257,3.5641025641025643
12.25,75.25,4898.2847,976.74115,0.19940473,186.43589743589743,7.435897435897436
12.25,75.5,3965.7808,1008.8643,0.25439236,200.1794871794872,6.487179487179487
12.25,75.75,2030.5868,641.79517,0.31606388,219.25641025641025,1.0
12.25,76.0,955.8344,392.01877,0.4101325,263.4871794871795,0.0512820512820512
12.25,76.25,848.4417,197.6627,0.23297146,268.4871794871795,0.0256410256410256
12.25,76.5,812.2649,220.1527,0.27103558,277.7692307692308,0.0769230769230769
12.25,76.75,735.00714,187.29317,0.25481817,287.12820512820514,0.2307692307692307
12.25,77.0,745.77625,200.12587,0.2683457,281.7435897435897,0.0256410256410256
12.25,77.25,729.2269,188.65244,0.25870195,294.1025641025641,0.0769230769230769
12.25,77.5,846.6141,254.6233,0.30075487,279.15384615384613,0.0512820512820512
12.25,77.75,864.15515,218.7013,0.25308105,286.71794871794873,0.0769230769230769
12.25,78.0,908.8101,223.28172,0.24568579,289.43589743589746,0.1282051282051282
12.25,78.25,870.30286,247.42548,0.28429812,286.84615384615387,0.1282051282051282
